適用規格,事業工事名,調査名,調査目的,調査対象,ボーリング名,ボーリング総数,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,取得方法コード,読取精度コード,測地系,調査位置住所,コード1次,コード2次,コード3次,発注機関名称,テクリスコード,調査期間_開始年月日,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進角度,地盤勾配,試錐機_名称,試錐機_能力,試錐機_方法,エンジン_名称,エンジン_能力,エンジン_単位,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,ポンプ_名称,ポンプ_能力,ポンプ_単位,櫓種類コード,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石土記号,岩石土区分_岩石群コード,岩石土区分_岩石,色調_下端深度,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,標準貫入試験_開始深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,相対密度稠度_下端深度,相対密度_コード,相対稠度_コード,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_試験方法,透水試験_透水係数,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_孔内水位,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_説明,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_説明,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_水位種別備考,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,孔径孔壁保護_孔壁保護方法,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,フリー情報,岩石土区分_岩相,標準貫入試験_備考,掘進方向,相対密度_状態,試料採取_採取方法,取得方法説明,コア形状区分判定表_区分,割れ目区分判定表_区分,風化区分判定表_区分,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,孔径孔壁保護_孔壁保護実施理由,送水条件_送水種類,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_降伏圧,孔内水平載荷試験_変形係数,孔内水位_掘削状況,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,試料採取_試験名,相対稠度_状態,N値記録用具_名称,調査会社_TEL,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,櫓種類名称,岩石土区分_変成岩岩相,岩石土区分_変成岩岩石,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,孔内水平載荷試験_載荷パターン,座標定義,座標,地盤分類_下端深度,地盤分類_工学的分類記号,標準貫入試験詳細データ_開始深度,標準貫入試験詳細データ_打撃回数,標準貫入試験詳細データ_貫入量,標準貫入試験詳細データ_累積貫入量
JIS A 0206-2008,,平成21年度 第HK37-2号 高時川補助河川改修地質調査業務委託,08,09,L-8.6K-2,14,10,136,14,46.2000,35,29,00.4000,02,1,1,滋賀県伊香郡高月町雨森 他,5336,11,89,滋賀県木之本土木事務所,22501107,2010-01-14,2010-01-16,正和設計株式会社,116.08,12.50,1,0.00,22.00,東邦D-0C,,,ヤンマーNFAD8,,,2,半自動型,9,東邦BG-3B,,,,12.50,砂質シルト,MS,1,532110020,12.50,茶灰,11.70,12.50,粘性弱い。\nシーム状に細砂を挟む。,12.50,12.15,7,10,8,10,12,10,27,30,12.50,0,4,,,,,,12.15,12.45,P-12,100,2010-01-18,4,5.35,29,2010-01-16,12.50,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,泥水位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中位～非常に密な,,,,,,,,,,,,,,,,,,掘削完了後,,,,,物理的,非常に硬い,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK37-1号 高時川補助河川改修地質調査業務委託,08,09,No.4（No.73),0014,0004,136,14,41.40535,35,28,19.55428,02,1,1,滋賀県伊香郡高月町雨森 他,5336,11,69,滋賀県木之本土木事務所,22501107,2009-12-24,2009-12-25,双葉建設株式会社,112.18,12.50,1,0.00,0.00,ベルマシンBL-MT,50,2,ヤンマーNS75C,7,PS,2,自動落下,2,ベルマシンSP-5,50,l/min,3,12.50,玉石混り砂礫,MS,1,532110020,12.50,黄茶,4.10,12.50,\n\nφ5～30mm程度の亜円礫主体。\n玉石はφ100mm前後のものが1m当り3～4個混入する。\nマトリックスは中粗砂。\n5.00mでは砂分をほとんど含まない礫状。\n\n6.50m以深φ10～40mmの亜円礫主体の礫層。\nφ100mm前後の玉石を1m当り4～5個混入する。\n礫質は硬質なチャート礫を優勢とする。\n\n漏水量多く崩壊性高い。\n粒度分布良好で密実に締まる。\n\n\n9.00m付近はマトリックスに酸化変色した微量の粘土分を含む。\nφ2～40mm程度の硬質なチャート円礫が主体となるが部分的にφmax100mmの玉石が混る。\n砂は中～粗砂主体。\n\n粒度分布良好で中位～密実に締まる。\n\n漏水非常に多い。\n,12.50,12.15,9,10,13,10,16,10,38,30,12.30,4,0,8.00,8.50,01,,4.26E-02,8.00,8.50,4P8,100,2009-12-25,3,6.87,12,2009-12-25,12.50,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.50,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
			2011-12-15 09:54:11 測地系変換(日本→世界)を実行_変換前経度:136度14分51.8000秒_変換前緯度:35度28分08.1000秒
			(ボーリングデータＸＭＬ変換システム ver1.0)
		",,,,,,国土地理院発行 数値地図1/25000「竹生島」より読み取り。,,,,,,,,,漏水,,,,,,,,現場透水試験,8.25,8.25,現場透水試験,地盤材料の工学的分類,,,,,,,,,,,,,,,,,8.00,GS-Cs,,,,
JIS A 0206-2008,,平成21年度 第HK37-1号 高時川補助河川改修地質調査業務委託,08,09,No.10（No.87),0014,0010,136,14,40.50637,35,29,6.15020,02,1,1,滋賀県伊香郡高月町雨森 他,5336,11,89,滋賀県木之本土木事務所,22501107,2009-12-25,2009-12-28,双葉建設株式会社,117.09,12.50,1,0.00,0.00,カノーKR-100,100,2,ヤンマーNS90,9,PS,2,自動落下,2,カノーV6,50,l/min,3,12.50,玉石混り砂礫,GS,1,531120000,12.50,茶褐,5.00,12.50,\n\nφ10～30mm前後の角・亜角礫主体。\nマトリックスは中粗砂～粗砂。\n不均質に酸化変色した粘性弱い粘土分少量混入。\n\n所々φ50～80mm前後の粗礫及びφ100mm前後のチャート玉石多く散在。\n\n含水低い～中位。\n\n6.00m付近より含水高くなり崩壊性高い。\n\n7.50m以深、亜角礫非常に硬質で密実に締まる。\n\n全体的に酸化した粘土分を少量含有し、掘削時漏水有り。\n\nφ80～100mmのチャート・砂岩玉石1mあたり3～4個点在し粒度分布良好。\n\n\n12.00m付近より不均質に細砂挟む。\n,12.50,12.15,10,10,17,10,10,10,37,30,12.30,4,0,8.00,8.50,01,,1.07E-02,8.00,8.50,10P8,100,2009-12-26,3,6.98,12,2009-12-28,12.50,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.50,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
			2011-12-15 09:54:12 測地系変換(日本→世界)を実行_変換前経度:136度14分50.9000秒_変換前緯度:35度28分54.7000秒
			(ボーリングデータＸＭＬ変換システム ver1.0)
		",,,,,,国土地理院発行 数値地図1/25000「竹生島」より読み取り。,,,,,,,,,漏水,,,,,,,,現場透水試験,8.25,8.25,現場透水試験,地盤材料の工学的分類,,,,,,,,,,,,,,,,,8.00,GS-Cs,,,,
JIS A 0206-2008,,平成21年度 第HK37-2号 高時川補助河川改修地質調査業務委託,08,09,L-7.4K-2,14,4,136,14,47.2000,35,28,23.2000,02,1,1,滋賀県伊香郡高月町雨森 他,5336,11,69,滋賀県木之本土木事務所,22501107,2010-01-13,2010-01-16,正和設計株式会社,112.50,13.50,1,0.00,30.00,YBM-05,,,ヤンマーNFAD8,,,2,半自動型,9,カノV5P,,,,13.50,シルト混り砂礫,GS-M,1,531120003,13.50,暗茶灰,10.25,13.50,径2～40mm程度の亜角礫が主体。\n玉石点在。\n最大推定径100mm程度。\n風化礫を混入。\nマトリックスは細～粗砂、シルト、粘土。\n細粒分やや多い。\n含水量中位。,13.50,13.15,10,10,8,10,8,10,26,30,13.50,9,0,,,,,,13.15,13.45,P-13,100,2010-01-16,1,6.40,19,2010-01-16,13.50,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,清水位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中位～非常に密な,,,,,,,,,,,,,,,,,,作業開始時,,,,,物理的,軟らかい,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成23年度 第800-4号 保坂2号地区急傾斜地崩壊対策調査委託,09,13,No.3,3,3,135,56,43.7890,35,24,41.7680,01,3,1,滋賀県高島市今津町保坂,5335,07,95,滋賀県高島土木事務所,22501108,2011-12-19,2011-12-22,株式会社東京ソイルリサーチ,211.24,9.27,2,0.00,20.00,吉田_YBM-05,50,3,ヤンマー NFA-80,8,PS,2,,2,カノー V5-P,50,l/min,3,9.27,風化珪質粘板岩,Sl,1,531231040,9.27,灰,4.80,9.27,角礫状主体\n岩組織は残るが、若干軟質化\n所々粘土化みられる\n6.7m～7.0m間、粘土化\n8.4m～8.5m間、粘土化,9.27,9.15,47,10,13,2,13,4,60,12,,,,,,,,,,,,,,,,,2011-12-21,9.27,9.00,,,,,9.27,014,,,,9.27,015,,,,9.27,014,,,,9.27,014,,,,,9.27,,,9.00,86,2,,9.00,300,9.00,DCT,MC,9.00,30.0,9.00,120,9.00,0.1,15,15,9,,,,9.00,100,9.00,0,9.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,9.27,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,312010000,,,,,,,,,,,,
JIS A 0206-2008,,平成23年度 第1-8号 東北部木之本西幹線土質調査業務委託(その1),05,08,No.1,9,0001,136,13,40.6000,35,24,08.1500,02,2,1,滋賀県長浜市川道町～野寺町,5336,01,88,滋賀県東北部流域下水道事務所,22501119,2011-08-23,2011-08-24,株式会社西日本技術コンサルタント,86.44,26.00,1,0.00,0.00,カノーKR-50,70,3,ヤンマーNFD-8,8,HP,2,,2,カノーV-5,40,L/M,3,26.00,砂,S,1,531211000,26.00,暗緑灰,24.75,26.00,含水中。砂は単粒な微細砂主体。,26.00,25.65,9,10,10,10,11,10,30,30,26.00,3,0,,,,,,19.15,19.45,P1-10,100,2011-08-23,1,1.01,,2011-08-24,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,,インターネット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第1-15号 東北部木之本西幹線姉川ポンプ場地質調査業務委託,08,21,Bor No.2,3,2,136,13,48.5362,35,23,56.4223,01,3,1,滋賀県長浜市川道町,5336,01,78,滋賀県東北部流域下水道事務所,22501119,2010-05-26,2010-06-02,株式会社クレアリア,91.52,44.45,1,0.00,7.00,YBM-05,100,3,ヤンマーNFD-8,9,PS,2,,2,カノーV6,54,L/min,,44.45,礫混じり砂,S-G,1,531212000,44.45,黒灰,43.00,44.45,43.0～44.45m:極粗粒砂～細礫混じり粗粒砂。淘汰少し悪い。石英粒子目立つ。礫径最大φ1.5cm。,44.45,44.15,20,10,20,10,10,10,50,30,44.45,5,0,16.00,16.50,02,現場透水試験(定常),1.47E-03,43.15,43.41,2-P-43,100,2010-05-28,1,5.60,12,2010-06-02,44.45,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,0.00,44.45,完新世,111010000,111010000,,,,,,,,,,,,,物理,軟かい,,,,,,,,,,,,,,,,43.45,SPG,,,,
JIS A 0206-2008,,平成21年度 第HK36-18号 姉川補助河川総合流域防災事業土質調査業務委託(その6),08,09,R-7.2KP-ws,14,1,136,16,53.58471,35,24,47.07701,02,1,1,滋賀県長浜市国友町 他,5336,02,92,滋賀県長浜土木事務所,22501106,2010-08-30,2010-09-01,キタイ設計株式会社,105.38,23.50,1,0.00,0.00,カノ製KR-100,100,2,ヤンマー製NFD-9,9,ps,2,,2,東邦地下工機製BG-3,50,L/min,,23.50,粘土混り砂礫,GS-C,1,531120004,23.50,褐灰,22.65,23.50,砂は中～粗砂主体で、全体に粘土分が多く混る。含有礫はφ2～20mm程の亜角礫主体。,23.50,23.15,17,10,20,10,22,10,59,30,23.50,5,0,,,,,,23.15,23.45,P-23,100,2010-08-31,1,5.11,12,2010-09-01,23.50,22.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
			2011-12-08 19:34:31 測地系変換(日本→世界)を実行_変換前経度:136度17分04.0000秒_変換前緯度:35度24分35.6000秒
			(ボーリングデータＸＭＬ変換システム ver1.0)
		",599200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-8号 姉川補助河川総合流域防災事業土質調査業務委託,08,21,No.1(表法肩)(R4.2KP),14,1,136,14,59.5000,35,24,49.0000,02,1,1,滋賀県東浅井郡虎姫町酢 他,5336,01,99,滋賀県長浜土木事務所,22501106,2010-02-08,2010-02-12,富二設計コンサルティング株式会社,94.97,14.45,1,0.00,0.00,YBM-05DA-2,,,ヤンマーNFAD-9,,,9,半自動落下装置,2,東邦BG-30R,,l/min,,14.45,シルト質砂礫,SM,1,531231030,14.45,暗灰,12.80,14.45,含水量多い\n礫はφ2～10mm(max=30mm)の角～亜角礫主体\nマトリックスは粗砂主体,14.45,14.15,11,10,14,10,13,10,38,30,14.45,4,0,7.00,7.50,99,現場透水試験,2.85E-05,13.15,13.45,1P-13,100,2010-02-09,1,5.03,19,2010-02-10,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成24年度 第800-6号 保坂地区急傾斜地崩壊対策調査委託,09,13,No.B-3,1,0001,135,56,27.5230,35,24,56.0300,01,4,1,滋賀県高島市今津町保坂,5335,07,95,滋賀県高島土木事務所,22501108,2012-12-06,2012-12-13,株式会社東京ソイルリサーチ,224.51,20.22,2,0.00,0.00,吉田_YBM-05,50,2,ヤンマー NFA-80,8,l/min,2,,2,カノー V5-P,5,l/min,3,20.22,風化黒色粘板岩,Sl,1,531120004,20.22,暗灰～黒,7.50,20.22,砂礫状コア主体\n全体に破砕され粘土化\n一部礫混じり粘土状を呈する\nφ2～20mm程度の破砕岩片見られる\n12.7m付近ほぼ水平の方解石脈あり\n12.9m付近垂直方向の方解石脈あり\n14.6～14.7m間片状コア,20.22,20.15,60,7,34,5,12,2,60,7,,,,,,,,,,,,,2012-12-08,1,3.51,,2012-12-08,15.00,14.50,,,,,20.22,015,,,,20.22,015,,,,20.22,014,,,,20.22,015,,,,,20.22,,,19.25,86,2,,20.22,180,20.22,DCT,MC,20.22,20.0,20.22,120,20.22,0.1,15,15,9,,,,,,20.00,0,20.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,20.22,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,312010000,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-18号 姉川補助河川総合流域防災事業土質調査業務委託(その6),08,09,L-8.3KP-bs,14,14,136,17,34.78020,35,24,47.47783,02,1,1,滋賀県長浜市国友町 他,5336,02,93,滋賀県長浜土木事務所,22501106,2010-09-04,2010-09-07,キタイ設計株式会社,107.52,6.80,1,0.00,0.00,カノ製KR-100,100,2,ヤンマー製NFD-9,9,ps,2,,2,東邦地下工機製BG-3,50,L/min,,6.80,粘土混り砂礫,GS-C,1,531120004,6.80,褐灰,6.10,6.80,砂は中～粗砂主体で、全体に粘土分が混る。含有礫はφ2～30mm程の亜角礫主体。含水少ない～中位。,6.80,6.45,13,10,18,10,16,10,47,30,6.80,4,0,6.30,6.80,99,現場透水試験,1.83E-02,6.45,6.75,P-6,100,2010-09-07,1,3.56,12,2010-09-07,6.80,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
			2011-12-08 19:34:32 測地系変換(日本→世界)を実行_変換前経度:136度17分45.2000秒_変換前緯度:35度24分36.0000秒
			(ボーリングデータＸＭＬ変換システム ver1.0)
		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-8号 姉川補助河川総合流域防災事業土質調査業務委託,08,21,No.14(裏法)(L5.2KP),14,14,136,15,41.2200,35,24,51.5520,02,1,1,滋賀県東浅井郡虎姫町酢 他,5336,02,90,滋賀県長浜土木事務所,22501106,2010-03-01,2010-03-04,富二設計コンサルティング株式会社,97.25,15.45,1,0.00,0.00,YBM-05,,,ヤンマーNFAD9-H,,,9,半自動落下装置,2,YBM-GP5,,l/min,,15.45,シルト,M,1,532110000,15.45,暗灰褐～黒灰,13.60,15.45,粘性強い\n腐植物多く混入する\nGL-15m付近、腐植土状を呈す,15.45,15.15,3,10,3,10,3,10,9,30,15.45,0,2,7.00,7.00,99,透水試験(チューブ法),2.15E-03,14.15,14.45,14P-14,100,2010-03-01,1,3.95,19,2010-03-02,15.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第1820-4号 ガニ川補助通常砂防調査委託,09,10,Bor-No.1,6,1,136,04,20.4000,35,29,54.6000,02,0,1,滋賀県高島市マキノ町山中,5336,10,95,滋賀県高島土木事務所,22501108,2009-12-12,2009-12-17,株式会社鈴鹿設計事務所,204.94,8.00,1,0.00,0.00,KR-100H,,3,NFAD80,,,4,,2,CP-30,,,,8.00,砂礫混じり玉石,B,1,510000010,8.00,暗灰～暗褐灰～暗青灰,4.80,8.00,φ75～400mm以下の玉石及びφ10～60mm以下の角～亜角礫主体。\n礫種は泥岩主体、局部的にチャートを含む。\n全体的に密実に締まる。\n含水小～中位。\n\n5.60～5.80m付近、赤褐色の風化粘土を混入する。\n7.50～7.70m付近、砂礫及びチャート礫を混入する。,8.00,6.00,50,0,18,10,16,9,50,0,8.00,5,0,,,,,,,,,,2009-12-12,1,1.40,,2009-12-17,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成23年度 第800-4号 保坂2号地区急傾斜地崩壊対策調査委託,09,13,No.2,3,2,135,56,43.7370,35,24,41.5140,01,3,1,滋賀県高島市今津町保坂,5335,07,95,滋賀県高島土木事務所,22501108,2011-12-16,2011-12-18,株式会社東京ソイルリサーチ,219.24,7.00,2,0.00,34.00,吉田_YBM-05,50,3,ヤンマー NFA-80,8,PS,2,,2,カノー V5-P,50,l/min,3,7.00,チャート,Cht,1,131000002,7.00,淡灰,4.60,7.00,5～20cm程度の短柱状主体\n所々クラック発達し礫状から片状コアになる\n岩片は新鮮で堅硬\n30°程度の開口亀裂多く、亀裂面は褐色化\n60°～70°の角度の石英脈多い,7.00,4.15,19,10,41,9,14,10,60,19,,,,,,,,,,,,,,,,,2011-12-18,7.00,4.60,,,,,7.00,012,,,,7.00,013,,,,7.00,012,,,,7.00,012,,,,,7.00,,,4.60,86,2,,7.00,60,7.00,DCT,IDB,7.00,30.0,7.00,200,7.00,0.2,5,5,9,,,,7.00,100,7.00,18,7.00,36,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,7.00,940,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,312010000,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第1820-6号 ガニ川支流補助通常砂防調査委託,09,10,Bor-No.1,8,1,136,04,04.6300,35,29,57.6000,02,0,1,滋賀県高島市マキノ町山中,5336,10,95,滋賀県高島土木事務所,22501108,2009-12-27,2009-12-28,株式会社鈴鹿設計事務所,247.25,9.85,2,0.00,0.00,KR-100H,,3,NFAD80,,,4,,2,CP60,,,,10.00,泥岩,Ms,1,111300002,10.00,暗灰～暗青灰,7.50,10.00,泥質ホルンフェルスと推定。\n石英が再結晶し、微細な黒雲母を多く含む。\n岩質は新鮮・堅硬であるが、亀裂が発達している。\n岩片等は未風化だが、亀裂面は弱風化により褐～暗褐色に変色し、粘土化した風化生成物を薄く付着している。\nコアは礫状～岩片状主体、所々柱状コアが分布する。\nコアはハンマーの軽打で金属音を発し、容易には割れない。,10.00,10.00,50,0,5,10,7,10,50,0,,,,,,,,,,,,,2009-12-28,3,9.60,,2009-12-28,10.00,7.50,,,,,10.00,012,,,,10.00,,,,,10.00,012,,,,10.00,,,,,,10.00,,,7.50,86,2,,10.00,137,10.00,W,DB,10.00,3.0,10.00,180,10.00,0.0,18,0,2,,,,10.00,100,10.00,27,10.00,27,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,10.00,,,,貫入不能,,,,,,,,7.50,10.00,中生代ジュラ紀,120000000,122000000,崩壊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第1-15号 東北部木之本西幹線姉川ポンプ場地質調査業務委託,08,21,Bor No.3,3,3,136,13,48.2029,35,23,56.1596,01,3,1,滋賀県長浜市川道町,5336,01,78,滋賀県東北部流域下水道事務所,22501119,2010-05-19,2010-05-31,株式会社クレアリア,92.14,45.45,1,0.00,40.00,YBM-05,100,3,ヤンマーNFD-9,9,PS,2,,2,東方BG-3C,54,L/min,,45.45,火山灰質シルト,MV,1,532110060,45.45,灰白,45.10,45.45,45.1～45.5m:火山灰質シルト。固結し、粘性も高い(なかなか千切れない)。塊状～わずかに平行葉理あり。,45.45,45.15,5,10,6,10,7,10,18,30,45.45,0,3,20.00,20.50,01,現場透水試験(非定常),4.96E-05,43.15,43.45,3-P-43,100,2010-05-21,2,6.97,12,2010-05-31,45.45,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,0.00,45.45,完新世,111010000,111010000,,,,,,,,,,,,,物理,,,,,,,,,,,,,,,,,43.45,SPG,,,,
JIS A 0206-2008,,平成21年度 第HK37-1号 高時川補助河川改修地質調査業務委託,08,09,No.11(No.91),0014,0011,136,14,47.80547,35,29,20.74894,02,1,1,滋賀県伊香郡高月町雨森 他,5336,11,89,滋賀県木之本土木事務所,22501107,2009-12-17,2009-12-22,双葉建設株式会社,120.87,23.25,1,0.00,0.00,YBM-05,50,2,ヤンマーNS90,9,PS,2,自動落下,2,カノーV6,50,l/min,3,23.25,玉石混り砂礫,GS,1,531120000,23.25,褐,15.35,23.25,\n18.00mまでφ10～30mmの角礫～亜角礫主体。\n\nφ50mm～70mmのチャート・砂岩粗礫多く点在。\n少量漏水有り。\nポケット状に褐色に酸化変色した粘土分挟む。\nφmax100mの硬質な玉石1m当り4～5個点在する。\n\n19.00mまでφ15～25mmの角礫主体。\n粗～細礫主体。\n20cm～30cm間隔にφ100mmの玉石点在し漏水あり。\n\n\n21.00m付近φ2～5mmの細礫主体となるがφ30～40mmの角礫多混する。\n粒度分布良好で密実に締まる。\n\n22.00～23.00m間φ30～60mmのチャート円礫多く混入し、20～30cm間隔にφ80～100mmの玉石点在する。\n,23.25,23.15,60,10,28,10,14,2,60,10,23.20,5,0,,,,,,16.00,16.43,11P16,100,2009-12-18,3,7.82,12,2009-12-22,23.25,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
			2011-12-15 09:54:12 測地系変換(日本→世界)を実行_変換前経度:136度14分58.2000秒_変換前緯度:35度29分09.3000秒
			(ボーリングデータＸＭＬ変換システム ver1.0)
		",,,,,,国土地理院発行 数値地図1/25000「竹生島」より読み取り。,,,,,,,,,漏水,,,,,,,,,,,,地盤材料の工学的分類,,,,,,,,,,,,,,,,,16.00,GWS,,,,
JIS A 0206-2008,,平成21年度 第HK37-2号 高時川補助河川改修地質調査業務委託,08,09,L-7.8K-1,14,5,136,14,47.2000,35,28,34.6000,02,1,1,滋賀県伊香郡高月町雨森 他,5336,11,79,滋賀県木之本土木事務所,22501107,2009-12-10,2009-12-15,正和設計株式会社,113.84,22.44,1,0.00,0.00,YBM-05,,,ヤンマーNFAD8,,,2,半自動型,9,カノV4P,,,,22.44,シルト混り砂礫,GS-M,1,531120003,22.44,褐灰,18.85,22.44,径10～50mm程度の亜角礫が主体。\nマトリックスは細～粗砂、シルト主体。\n深度21m付近より粘土分を含み、含水量も多い。,22.44,22.15,12,10,16,10,22,9,50,29,22.44,9,0,,,,,,22.15,22.44,P-22,100,2009-12-15,4,6.07,29,2009-12-15,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,泥水位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,密な～非常に密な,,,,,,,,,,,,,,,,,,掘削完了後,,,,,物理的,硬い,,,,,,,,,,,,,,,,,,,,,
