適用規格,調査名,調査目的,調査対象,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進方向,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,色調_下端深度,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,孔内水位_孔内水位,バージョン変換情報,事業工事名,ボーリング名,ボーリング総数,取得方法コード,読取精度コード,調査期間_開始年月日,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,掘進角度,地盤勾配,試錐機_名称,試錐機_能力,試錐機_方法,エンジン_名称,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,N値記録用具_名称,ポンプ_名称,岩石土区分_岩石土記号,岩石土区分_岩石,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_区分,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_掘削状況,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,孔径孔壁保護_孔壁保護実施理由,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,地質柱状図様式,ハンマ落下用具_コード,ハンマ落下用具_名称,岩石土区分_岩相,色調_状態,観察記事枠線_下端深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_降伏圧,孔内水平載荷試験_変形係数,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_試験方法,透水試験_透水係数,P波試験_上端深度,P波試験_下端深度,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_速度,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,孔径孔壁保護_孔壁保護方法,標準貫入試験_備考,座標定義,座標,エンジン_能力,エンジン_単位,ポンプ_能力,ポンプ_単位,櫓種類コード,相対密度稠度_下端深度,相対密度_コード,相対密度_状態,相対稠度_コード,相対稠度_状態,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_区分,割れ目区分判定表_説明,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_区分,風化区分判定表_説明,孔内水平載荷試験_載荷パターン,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,送水条件_送水種類,孔内水位_水位種別備考,取得方法説明,岩石土区分_変成岩岩石,試料採取_試験名,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,掘進方位,P波試験_起振方式,S波試験_起振方式,試料採取_採取方法,保孔管_下端深度,保孔管_種別コード,保孔管_備考,フリー情報
JIS A 0206-2008,昭和６３年度関ケ原バイパス野上地区地質調査,01,04,2  ,136,30,16.444,35,22,17.472,1,5336,04,40,国土交通省 中部地方整備局 岐阜国道事務所,1989-01,興亜開発株式会社,71.38,15.35,1,000,015.35,シルト質礫,1,015.35,015.15,50,20,004.80,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,GM,531131030,暗黄褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成４年東海環状自動車道富加、関ＩＣ地質調査,01,01,19 ,136,58,18.28,35,30,15.458,1,5336,27,07,国土交通省 中部地方整備局 岐阜国道事務所,1993-02,中央開発株式会社,73.32,8.00,2,000,008.00,中硬岩,1,008.00,005.15,50,30,001.30,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,MR,999010003,淡褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,長良．揖斐大橋取付道路設計委託,18,21,1  ,136,39,46.396,35,21,41.09,1,5336,05,33,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,6.49,25.36,1,000,025.36,礫,1,025.36,024.50,50,30,001.20,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G,531111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成４年東海環状自動車道富加、関ＩＣ地質調査,01,01,13 ,136,58,16.28,35,30,20.458,1,5336,27,07,国土交通省 中部地方整備局 岐阜国道事務所,1993-02,中央開発株式会社,80.25,11.00,2,000,011.00,中硬岩,1,011.00,008.15,33,30,004.30,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,MR,999010003,暗青灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,天王川排水機場地質調査,18,21,1  ,136,42,0.679,35,23,59.177,1,5336,05,76,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,9.60,25.00,1,000,025.00,玉石混り礫,1,025.00,018.15,39,30,002.10,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G-B,521111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成２年度東海環状自動車道その６地質調査,01,02,2  ,136,51,49.313,35,30,30.747,1,5336,26,19,国土交通省 中部地方整備局 岐阜国道事務所,1990-11,日本工営（株）,51.75,10.20,1,000,010.20,玉石混り礫,1,010.20,010.05,50,15,005.50,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,G-B,521111000,灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１０年度長良川・杭瀬川堤防詳細点検,08,09,29 ,136,45,12.358,35,25,55.469,1,5336,16,10,国土交通省 中部地方整備局 木曽川上流河川事務所,1999-01,（株）ダイヤコンサルタント,18.81,15.10,1,000,015.10,礫質土,1,015.10,015.00,50,10,009.30,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,9,,,,,GF,531100000,暗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,011.00,011.05,02,,7.63E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和６１年度岐阜東バイパス（岩戸地区）地質調査,01,01,9  ,136,47,7.35,35,25,9.977,1,5336,16,02,国土交通省 中部地方整備局 岐阜国道事務所,1987-01,中央開発（株）,10.59,20.20,1,000,020.20,粘土質高有機質土(腐植土),1,020.20,020.20,60,30,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,000,,,,,,2,,,,,GF,531100000,褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,自沈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,坂祝バイパス建設事業,01,01,9,136,56,21.6020,35,24,49.5930,1,5336,07,95,国土交通省中部地方整備局岐阜国道工事事務所調査課,2002-01-19,サンコーコンサルタント株式会社,74.16,8.00,1,,8.00,軟岩,1,8.00,6.00,50,2,1.44,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成13年度　坂祝バイパス各務原地区地質調査,No.9,20,02,1,2002-01-18,福間敏夫,加治佐　恵,福間敏夫,矢野貴一,0.00,0.00,YBM05,50,2,NFAD-8,1,全自動型,2,野張,AS-25,WR,999010004,暗灰～黒,7.30,8.00,砂質頁岩、径5?以下の礫状～岩片コア。一部褐色風化。ＣL級。,,,,,,,,,,,,,,,,,,,,,,,2002-01-19,,8.00,,2002-01-19,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,8.00,50,2,24,10,17,5,,,,,,,,,,,,,,,,,6.00,6.02,9-6,100,6.60,8.00,中生代ジュラ紀,000000000,000000000,,,7,-20367.885,5,h.p.,30,l/min,3,8.00,0,緩い,0,,6.60,8.00,美濃帯砂質粘板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,坂祝バイパス建設事業,01,05,15,136,56,16.9030,35,24,37.8940,1,5336,07,95,国土交通省中部地方整備局岐阜国道工事事務所調査課,2001-12-26,サンコーコンサルタント株式会社,66.62,9.00,1,,9.00,中硬岩,1,9.00,7.00,50,5,5.50,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成13度　坂祝バイパス各務原地区地質調査,No.15,20,02,2,2001-12-22,福間敏夫,加治佐　恵,福間敏夫,飯島文男,0.00,10.00,YSO-1h,150,2,NS75,1,全自動型,2,野張,カノー　V-6,MR,999010003,淡褐灰～帯青灰,6.50,9.00,砂岩。6.45ｍ付近より岩級はＣＭとなり5?～10?程の短柱状で最長15?程の棒状。\n硬い短柱状～棒状コア主体である、亀裂面褐色化。ＣM級。,,,,,,,,,,,,,,,,,,,,,,,2001-12-25,,9.00,,2001-12-25,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,9.00,50,5,28,5,10,10,,,,,,,,,,,,,,,,,7.00,7.05,16-7,100,4.80,9.00,中生代ジュラ紀,000000000,000000000,,,7,-20494.355,8,h.p.,60,l/min,3,9.00,0,密な,0,,4.80,9.00,美濃帯砂岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成17年度　東海環状美濃関地区地質調査,01,01,10,136,52,54.0000,35,30,38.0000,1,5336,27,10,国土交通省中部地方整備局　岐阜国道事務所,2005-11-21,サンコーコンサルタント株式会社,54.10,7.00,1,,7.00,シルト質砂礫,1,7.00,7.00,50,15,4.50,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成17年度　東海環状美濃関地区地質調査,H17-No.10,10,02,0,2005-11-18,田邊謹也,赤嶺辰之介,赤嶺辰之介,白鳥　隆,0.00,0.00,D-0-C,50,2,NFD-8,2,,2,,共立AHP-45,C,532100000,黄褐～灰褐,3.50,7.00,[4.00]φ5cm未満の亜角～亜円礫を含む砂礫よりなる。基質は灰褐色のシルト質粗粒砂が主体。深度5.3mまで基質が細粒分に富む。\n深度5.5mまでは基質に黄褐色～橙色の風化変色が認められる。礫は砂岩、泥岩、チャート、酸性火山岩類～凝灰岩が多い。,,,,,,,,,,,,,,,,,,,,,,,2005-11-21,1,,12,2005-11-19,7.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,33,10,17,5,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,hp,30,1/min,,7.00,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成17年度　東海環状美濃関地区地質調査,01,01,4,136,53,25.0000,35,30,55.0000,1,5336,27,11,国土交通省中部地方整備局　岐阜国道事務所,2006-01-27,サンコーコンサルタント株式会社,48.05,18.00,1,,18.00,玉石混じりシルト質砂礫,1,18.00,18.15,50,27,0.25,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成17年度　東海環状美濃関地区地質調査,H17-No.4,10,02,0,2006-01-17,田邊謹也,赤嶺辰之介,赤嶺辰之介,飯島昭一,0.00,0.00,YBM-05,50,2,NFAD-8,2,,2,,共立AHP-45,,,黄褐色,6.00,18.00,[8.00]上位層よりも細粒分に富み、黄色味の強い砂礫よりなる。\n\n礫径はφ3～15cm程度(最大28cm）で、礫種、礫形は上位層と類似している。\n深度6.4～7.5m、11.5～14.8m区間はコア径10cm程度を越える大径の礫(玉石)にやや乏しい。\n\n一部の礫に軟質化、黄褐色化の著しいくさり礫化が認められる(例えば、深度6.7m付近、15.6～15.8m付近)。\n\n深度14.8m～18.00mはコア径10cm程度を越える礫が全体の7割近くを占める。\n\n深度16m以深の基質部は比較的均質な中粒砂よりなる。,,,,,,,,,,,,,,,,,,,,,,,2006-01-26,1,,12,2006-01-26,18.00,17.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,25,10,13,10,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,8,hp,45,1/min,,18.00,0,,0,,,,,,,,,,,,,,,,,,,,,,現場透水試験(非定常),8.40,8.70,5.17×10-3cm/s,,,,,,,,
JIS A 0206-2008,平成17年度　大河原岡谷第一砂防えん堤詳細設計業務委託,09,10,1,136,34,39.0000,35,44,58.0000,1,5336,44,96,国土交通省中部整備局　越美山系砂防事務所,2006-08-08,（株)オリエンタルコンサルタンツ　中部支社,482.80,6.00,1,0.00,6.00,玉石混じり砂礫,1,6.00,6.00,50,0,2.90,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),大河原岡谷第一砂防えん堤,"NO,1",4,02,0,2006-08-07,松崎宏文,志村猛志,小川直文,渡辺則重,0.00,12.00,YBM-50,50,3,NFAD-8,3,,2,,V-6,GS,531120000,暗茶褐,5.50,6.00,玉石は7～20cm。礫種は花崗閃緑岩、珪質粘板岩。\nマトリックスは砂礫,,,,,,,,,,,,,,,,,,,,,,,2006-08-09,1,,12,2006-08-09,6.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,50,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.80,6.00,更新世,111020000,111020000,,貫入不能,NO,0、センター,8,ppm,60,L/min,3,6.00,5,,0,,0.80,6.00,更新世（土石流堆積物）,,,,,,,,,,,,,,,1/2.5万分の地形図より読み取り,,,,,,,,,,,,,,
JIS A 0206-2008,昭和５３年度那加バイパス地質調査,01,01,8  ,136,50,28.136,35,23,35.092,1,5336,06,77,国土交通省 中部地方整備局 岐阜国道事務所,1978-06,梶谷調査工事株式会社,28.30,14.00,1,000,014.00,玉石混り礫質土,1,014.00,014.00,99,30,001.70,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,S,531211000,暗灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１０年度東海環状富加地質調査,01,05,4  ,136,59,46.474,35,29,34.165,1,5336,17,99,国土交通省 中部地方整備局 岐阜国道事務所,1998-09,（株）シマダ技術コンサルタント,88.27,14.00,2,000,014.00,岩盤,1,014.00,010.10,50,04,002.70,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,9,,,,,FI,999040001,暗褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,003.20,01,02.69,01.89,00079.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成13年度　東海環状岐阜地区ボーリング調査,01,04,0005,136,42,46.3650,35,28,41.4460,1,5336,15,77,国土交通省中部地方整備局岐阜国道工事事務所,2002-3-25,株式会社日本パブリック,188.3,83,,,83,軟岩,1,83,5.15,50,30,46,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),東海環状自動車道,No.5,5,02,0,2001-10-2,渡辺真司,三輪幸太郎,渡辺真司・三輪幸太郎,内山功一,,30,鉱研工業OP-1,,,ヤンマー製NFD-9,,,2,野帳,丸山製MS510型,WR,999010004,,0.6,83,チャート,,,,,,,,,,,,,,,,,,,,,,,2002-03-18,,83,,2002-2-24,67,,83,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,コーンプーリー法,,褐,83,11,10,19,10,20,10,,,,,,,,,,,,,,,,,,,,,0.6,83,中・古生代,000000000,000000000,セメンテーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成15年度 156号岐阜東バイパス岩田山トンネル地質調査,01,04,0002,136,49,14.4000,35,26,1.0000,1,5336,16,25,国土交通省中部地方整備局岐阜国道事務所,2003-12-17,株式会社 建設企画コンサルタント,35.64,15.34,2,,15.34,細粒砂岩,1,15.34,15.15,50,19,0.00,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),156号岐阜東バイパス,BV-2,0012,01,1,2003-12-16,白石賢二,岡島信也,岡島信也,内田祐司,0.00,15.00,DO-D,50,3,NS-9 L70A,2,半自動型,2,野張,MS651,S-G,111240002,暗褐灰,12.00,15.34,岩質全体に脆く、指圧で壊れる。\nコアは容易に礫状～岩片状となる。\n亀裂面は、黒灰色に変色している。\nGL-13.70m付近で酸化鉄狭存する。\nGL-14.00m以深で30度の亀裂主体。,015,E,極軟,マサ状、粘土状。,15.34,015,980,h,採取不可,コアの採取ができないもの。スライムも含む。,15.34,950,15.34,930,15.34,940,940,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換されほとんど変質し、30％以下非変質部を残すのみで、原岩組織を全く～殆ど残さないもの。,15.34,910,2003-12-17,9,17,99,2003-12-17,15.34,6.00,15.00,66,9,その他,15.00,282,15.00,シングル,メタル,15.00,7.0,15.00,120,15.00,15.0,15,15,2,15.00,100,15.00,14,15.00,14,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.34,960,,,,599200003,,,19,10,31,9,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,関ヶ原バイパス２工区（小関地区）地質調査,01,05,2  ,136,27,12.461,35,22,16.767,1,5336,03,46,国土交通省 中部地方整備局 岐阜国道事務所,1983-12,株式会社日本パブリックエンジニアリング,169.07,15.34,1,000,015.34,粘土質礫,1,015.34,015.15,50,19,000.95,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,GC,531131040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成17年度 初鹿谷第1砂防えん堤詳細設計業務,09,01,4,136,39,50.5000,35,39,59.0000,1,5336,35,93,国土交通省 中部地方整備局 越美山系砂防事務所,2006-12-09,玉野総合コンサルタント株式会社,275.90,10.00,2,,10.00,砂岩(断層破砕帯),1,10.00,10.00,50,2,-99.99,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,No.4,7,01,1,2006-12-08,村雲由喜,深谷雄二,深谷雄二,田中貴光,0.00,40.00,吉田鉄工所_YBM-05,,,ヤンマーNFD8,,,,,CP100,,,暗緑～暗灰,7.40,10.00,砂岩中に緑色岩のブロックを含んでいることから断層破砕帯と考えられる。\n片状～5cm程度の短柱状コア主体であるが，GL-9.7m以深は礫状コアとなる。\nコアは亀裂多く，亀裂面に沿って風化・変質し，軟質となっている。,015,E,極軟,マサ状、粘土状。a,10.00,013,018,VIII,,コアの採取ができないもの。スライムも含む。,10.00,013,10.00,013,10.00,014,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,10.00,011,2006-12-09,1,,,2006-12-09,10.00,10.00,7.50,86,2,崩壊,10.00,185,10.00,W,DB,10.00,50.0,10.00,250,10.00,0.1,10,10,9,10.00,95,10.00,7,10.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,10.00,950,,,,,,10.00,50,2,29,3,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,d,,割れ目として認識できない角礫状、砂状、粘土状コア。,015,ε,,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,,7.40,10.00,4,その他,,,,,,,,,,,,,,,,
JIS A 0206-2008,新揖斐川橋地質調査,18,21,1  ,136,39,23.096,35,22,32.083,1,5336,05,52,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,4.77,40.30,1,000,040.30,粘土混り礫,1,040.30,030.00,42,30,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G-C,531113004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成３年度油坂峠道路地質調査その１,01,01,8  ,136,50,45.769,35,52,41.793,1,5336,66,57,国土交通省 中部地方整備局 岐阜国道事務所,1991-10,株式会社ダイヤコンサルタント名古屋支店,421.32,28.00,2,000,028.00,軟岩・風化岩,1,028.00,016.15,50,15,005.10,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,,,黄褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014.50,02,02.33,06.54,00040.64,015.00,015.50,01,,2.13E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和５８年度一般口道２１号（岐南地区）,01,05,1  ,136,47,29.852,35,23,15.99,1,5336,06,63,国土交通省 中部地方整備局 岐阜国道事務所,1983-05,基礎地盤コンサルタンツ株式会社名古屋支社,10.11,16.32,1,000,016.32,玉石混り礫,1,016.32,016.15,50,17,000.30,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G-B,521111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009.70,02,00.49,01.74,00020.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成９年度　長良川河岸侵食地質調査業務委託,08,09,2  ,136,42,28.378,35,23,9.484,1,5336,05,66,国土交通省 中部地方整備局 木曽川上流河川事務所,1997-08,（株）帝国建設コンサルタント,7.08,10.00,1,000,010.00,砂利・礫混り砂,1,010.00,,,,004.50,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G,531111000,褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和５３年度，境川排水機場設計業務委託（地質調査）,08,01,1  ,136,41,28.388,35,21,21.994,1,5336,05,25,国土交通省 中部地方整備局 木曽川上流河川事務所,1978-07,日本建設コンサルタント株式会社,9.02,32.00,1,000,032.00,礫質土,1,032.00,032.00,99,20,005.99,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,GF,531100000,黄褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
